"","data","sta","x","y","TotalDens"
"11969","RSMP","RSMP19898",1.53864,51.8231,1200
"11970","RSMP","RSMP19890",1.5385,51.82312,190
"11971","RSMP","RSMP21803",1.8009,51.82312,910
"11972","RSMP","RSMP19895",1.53858,51.82313,1360
"11973","RSMP","RSMP20039",1.55149,51.82323,3880
"11974","RSMP","RSMP20044",1.55157,51.82328,6650
"11975","RSMP","RSMP20046",1.55162,51.82328,2255
"11976","RSMP","RSMP20048",1.55169,51.82329,2890
"11977","RSMP","RSMP20043",1.55155,51.8233,4210
"11978","RSMP","RSMP20045",1.5516,51.82331,3810
"11979","RSMP","RSMP20038",1.55146,51.82334,2810
"11980","RSMP","RSMP21931",1.83107,51.82353,9940
"11981","RSMP","RSMP19653",1.51303,51.82359,1340
"11982","RSMP","RSMP19652",1.51296,51.82364,2150
"11983","RSMP","RSMP20259",1.58455,51.82369,440
"11984","RSMP","RSMP18750",1.26965,51.824,510
"11985","RSMP","RSMP19973",1.54558,51.8242,16390
"11986","RSMP","RSMP19968",1.54551,51.82427,8430
"11987","RSMP","RSMP19974",1.54562,51.82428,2520
"11988","RSMP","RSMP19969",1.54552,51.82429,7380
"11989","RSMP","RSMP19975",1.54564,51.82429,22330
"11990","RSMP","RSMP19970",1.54553,51.8243,36210
"11991","RSMP","RSMP19971",1.54553,51.82431,3950
"11992","RSMP","RSMP23743",2.00616,51.82466,40
"11993","RSMP","RSMP20169",1.56665,51.82486,21170
"11994","RSMP","RSMP19838",1.53329,51.8249,3070
"11995","RSMP","RSMP19305",1.4371,51.82494,220
"11996","RSMP","RSMP19831",1.53323,51.82497,37520
"11997","RSMP","RSMP19834",1.53326,51.82498,660
"11998","RSMP","RSMP19822",1.53313,51.825,3050
"11999","RSMP","RSMP19836",1.53327,51.825,770
"12000","RSMP","RSMP19841",1.53335,51.825,900
"12001","RSMP","RSMP19819",1.5331,51.82501,440
